student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,productivity_score,productivity_label
S1234,20,Male,3,2.4,4,No,88.1,5.4,Poor,5,High School,Good,5,No,62.9,38.94,Medium
S1235,20,Female,3.8,0.8,0.3,No,72.3,6.7,Fair,1,High School,Poor,3,No,71.5,44.42,Medium
S1236,22,Male,1.5,1.4,2.4,No,80.9,6,Good,3,High School,Good,5,No,46.2,28.32,Low
S1237,22,Female,2,1.3,3.4,Yes,75,4.9,Fair,1,High School,Average,9,No,53.8,33.08,Low
S1238,19,Male,5.3,2.7,4.3,No,90.5,6.9,Fair,1,Bachelor,Poor,4,Yes,74.2,46.64,Medium
S1239,24,Male,2.5,2.6,1.4,No,100,6.2,Poor,0,Master,Poor,6,No,52.5,32.5,Low
S1240,18,Male,1.9,1.6,2.3,No,72,6.3,Fair,6,Master,Poor,3,No,51.2,31.48,Low
S1241,23,Male,4.3,2.7,2.4,Yes,66.5,5,Fair,5,Bachelor,Poor,3,No,60.6,38.08,Medium
S1242,20,Female,5.3,1.8,2,No,83.8,8.4,Good,1,Bachelor,Good,5,No,91.5,57.02,High
S1243,17,Female,4.6,2.2,1.7,No,85.2,7.6,Fair,2,Bachelor,Average,8,No,87.3,54.22,Medium
S1244,23,Male,5,4.5,2.3,No,87.2,7.7,Good,6,High School,Average,8,No,98,60.8,High
S1245,22,Female,2.4,4.1,0,No,80.5,6.1,Fair,1,Bachelor,Average,3,Yes,47.9,29.7,Low
S1246,17,Male,1.4,0.9,2.6,Yes,83,4.4,Poor,3,Bachelor,Good,8,No,51,31.16,Low
S1247,17,Female,5.8,3.5,1.9,No,88.7,8.8,Fair,1,Bachelor,Good,8,Yes,90,56.32,High
S1248,17,Female,3,3.5,1.6,No,95.4,6.4,Fair,3,High School,Good,3,No,54.1,33.66,Low
S1249,19,Female,3.1,1.1,4.1,No,65.4,5.6,Good,3,High School,Good,10,Yes,58.4,36.28,Medium
S1250,22,Male,5.5,3.5,1.1,Yes,81.3,7,Good,2,High School,Average,10,No,100,62.2,High
S1251,17,Female,4.3,4.3,1.4,No,87.1,7.9,Fair,1,Master,Average,2,No,65.2,40.84,Medium
S1252,20,Female,4.2,1.2,4,No,75.8,6.5,Fair,1,High School,Good,10,No,85.3,52.86,Medium
S1253,21,Male,6.7,1.4,0.9,No,100,8,Fair,4,Bachelor,Good,2,No,93.8,58.96,High
S1254,17,Male,2.5,3.7,1.2,Yes,78.6,7.8,Good,6,Bachelor,Average,9,No,78.8,48.28,Medium
S1255,19,Female,4.9,2.8,1.6,No,84.6,5.2,Good,4,High School,Average,7,No,85,52.96,Medium
S1256,23,Female,3.6,3.2,2.7,No,90.6,5.7,Good,0,Bachelor,Good,6,No,64.5,40.14,Medium
S1257,22,Female,3.9,2.9,2,No,79.1,7.6,Fair,3,Master,Good,7,No,71,44.16,Medium
S1258,24,Female,5.8,3,0.4,No,66.5,3.2,Fair,2,High School,Average,8,No,90.8,56.8,High
S1259,19,Female,4.3,0.9,1.2,No,80.7,6.3,Fair,4,Master,Good,1,No,72.6,45.28,Medium
S1260,17,Male,4.3,3.8,1.1,No,95.3,4.8,Fair,1,High School,Average,8,No,70.9,44.26,Medium
S1261,22,Male,5.1,3.9,1.7,Yes,81.6,5.9,Fair,0,None,Poor,3,Yes,65.1,41.1,Medium
S1262,21,Male,3,2.2,2.3,No,76.5,6.1,Poor,2,Master,Average,3,No,49.1,30.66,Low
S1263,17,Female,2.2,2.4,2.3,Yes,94.3,6.1,Poor,5,Bachelor,Average,6,No,62.7,38.5,Medium
S1264,19,Male,1.9,0.7,0,No,81.7,5.8,Good,1,Master,Poor,4,No,51.5,31.66,Low
S1265,18,Female,0.6,3.1,3,No,79.9,5.2,Good,1,Bachelor,Good,4,No,18.4,11.28,Low
S1266,20,Female,6.6,3.2,2.1,No,86.5,9.3,Fair,5,Master,Average,4,Yes,100,62.64,High
S1267,24,Female,1.8,2.4,3.3,Yes,92.7,8.7,Fair,3,Bachelor,Good,10,No,53.3,32.7,Low
S1268,23,Male,3.2,3.8,2.3,No,100,5.1,Fair,3,Bachelor,Poor,9,No,76.1,46.94,Medium
S1269,19,Female,3.1,2.1,3,No,93.3,8.4,Good,4,Bachelor,Average,8,No,85.6,52.6,Medium
S1270,22,Male,4,3.2,2.3,Yes,96.6,6,Good,4,High School,Good,3,Yes,63,39.4,Medium
S1271,24,Female,4.7,1.3,3.3,Yes,79.9,6.7,Good,1,Master,Good,1,No,73.6,46.04,Medium
S1272,24,Male,4.8,2.5,2.4,Yes,74.7,6.4,Good,6,High School,Good,1,No,76.2,47.64,Medium
S1273,24,Male,2.6,2.3,1.7,No,85.6,5.7,Fair,1,Bachelor,Good,1,Yes,45.5,28.34,Low
S1274,17,Female,3.2,2.8,4.3,No,86.1,7.7,Fair,4,High School,Average,4,Yes,58.6,36.44,Medium
S1275,20,Male,3.9,2.1,2.8,No,74.2,6.7,Fair,5,Bachelor,Average,6,No,77.8,48.24,Medium
S1276,17,Male,3.1,2.3,2.4,Yes,83.2,5.9,Fair,4,High School,Good,4,Yes,61.5,38.14,Medium
S1277,22,Female,5.9,3.5,0.4,No,89,4.9,Good,1,None,Good,3,No,71.4,45.2,Medium
S1278,17,Female,4.2,2,0.4,No,88.6,5.4,Fair,2,Master,Good,8,Yes,93.9,58.02,High
S1279,18,Female,4.6,0.6,2.1,No,90,4.5,Poor,1,High School,Good,8,No,85.9,53.38,Medium
S1280,20,Female,4.5,4.6,2,No,87.9,6.5,Fair,2,Bachelor,Good,6,No,73.8,46.08,Medium
S1281,20,Female,5.3,4.2,1.1,Yes,79.9,5.1,Good,2,High School,Average,9,No,83.3,52.1,Medium
S1282,22,Male,3.8,0.9,2,Yes,79.9,6.2,Fair,1,None,Good,10,No,79.7,49.34,Medium
S1283,23,Male,1.6,3.3,3.5,Yes,73,8.1,Good,6,High School,Good,1,No,47.1,28.9,Low
S1284,18,Male,4.1,1.9,2.6,No,100,7.9,Fair,6,Bachelor,Good,8,No,91.9,56.78,High
S1285,19,Female,2.5,2.8,0.5,Yes,85.1,6.5,Poor,0,None,Poor,6,Yes,60.6,37.36,Medium
S1286,17,Female,2.7,2.9,1.7,No,82.8,6.4,Fair,4,Master,Average,1,No,46.6,29.04,Low
S1287,21,Male,4.4,2.2,0.9,No,75.7,8.8,Good,6,High School,Poor,4,Yes,84.2,52.28,Medium
S1288,17,Male,5.4,1.6,1.4,No,100,7.1,Fair,3,High School,Average,5,No,95.5,59.46,High
S1289,24,Female,3.5,1.7,1.3,No,74.3,6.1,Good,1,High School,Good,7,Yes,73.5,45.5,Medium
S1290,17,Male,4,1.4,1.3,No,80.7,4.8,Fair,2,None,Poor,8,No,75.9,47.14,Medium
S1291,19,Female,6.1,1.5,0.4,No,89.2,7,Poor,1,Bachelor,Average,9,No,100,62.44,High
S1292,17,Female,3.9,2.4,1.7,Yes,91,7.5,Good,4,Master,Average,6,Yes,74.2,46.08,Medium
S1293,18,Female,7.4,1.6,1.2,No,94.6,5.7,Fair,5,Bachelor,Good,10,Yes,100,62.96,High
S1294,18,Male,4.3,3.3,0,No,100,6.8,Fair,6,High School,Average,9,No,94.9,58.66,High
S1295,20,Female,0.9,4.3,4.1,No,90.1,6.1,Good,6,High School,Average,4,No,27.6,16.92,Low
S1296,22,Female,4.6,1.8,3,No,74.4,6.3,Fair,6,High School,Average,8,No,86.2,53.56,Medium
S1297,23,Female,4.1,2.8,1.4,No,82.4,3.5,Good,2,Master,Average,3,No,60.1,37.7,Medium
S1298,21,Female,5.4,3.1,1.8,No,88.1,6.2,Poor,3,High School,Average,4,Yes,91.3,56.94,High
S1299,24,Female,4.5,3.1,0.5,No,100,7.7,Fair,3,Bachelor,Average,10,No,93.8,58.08,High
S1300,17,Female,3.3,2.6,3.7,No,71,5.7,Poor,6,High School,Good,4,Yes,61.6,38.28,Medium
S1301,17,Male,1.7,3.4,3.9,Yes,97,6.6,Good,3,High School,Average,6,No,41.7,25.7,Low
S1302,19,Female,3.2,3.1,2,No,86.8,5.6,Fair,5,High School,Poor,9,No,74.5,45.98,Medium
S1303,22,Female,2.2,1,2.9,No,93.4,6.9,Good,6,None,Good,6,No,63.7,39.1,Medium
S1304,18,Male,2.6,3.5,2,No,84,6.2,Good,0,Bachelor,Average,1,No,39.6,24.8,Low
S1305,21,Female,4.4,3.6,0.3,No,76.6,5.4,Fair,2,High School,Good,5,Yes,87.5,54.26,Medium
S1306,20,Female,6,1.6,1.3,No,92.5,8.1,Fair,5,Bachelor,Average,9,No,100,62.4,High
S1307,18,Female,4.1,2.5,1.9,Yes,91.5,7.6,Fair,2,None,Good,5,No,75.4,46.88,Medium
S1308,24,Male,1.7,3.3,1.3,No,94.7,5.8,Fair,6,Master,Good,6,Yes,61.5,37.58,Medium
S1309,22,Male,4.2,2.2,1.6,No,84.9,7.1,Fair,5,High School,Good,3,Yes,73.3,45.66,Medium
S1310,24,Other,5.3,3.8,1.7,No,79,7.1,Good,6,Master,Average,8,No,96.3,59.9,High
S1311,23,Female,2.6,5.3,1.7,Yes,69.4,7.3,Good,5,Bachelor,Average,10,No,67,41.24,Medium
S1312,20,Male,3.3,1.6,1.9,No,93.2,4.5,Good,6,Master,Average,4,No,70.1,43.38,Medium
S1313,23,Female,3.5,0.8,0.6,No,89.2,7.7,Good,0,High School,Good,4,No,84.2,51.92,Medium
S1314,19,Female,2.3,2.9,1,No,75.3,5.8,Good,2,Bachelor,Good,5,Yes,48.9,30.26,Low
S1315,24,Female,4.5,3.4,0.4,No,79.6,6.1,Fair,5,High School,Poor,10,No,98.8,61.08,High
S1316,19,Female,3.3,2.2,2.9,Yes,80.3,9.7,Good,0,High School,Poor,9,No,76.1,46.98,Medium
S1317,17,Male,4.1,4.2,0,No,70.2,6.9,Good,1,High School,Average,8,Yes,80.4,49.88,Medium
S1318,23,Male,2.2,0.9,3.1,No,76.8,6,Fair,6,High School,Poor,7,No,64.1,39.34,Medium
S1319,22,Male,2.8,3.3,3.3,No,73.7,3.9,Good,4,Master,Average,5,Yes,59.4,36.76,Medium
S1320,24,Female,4.6,1.8,1.5,No,80.9,8.2,Fair,5,None,Poor,9,Yes,94.2,58.36,High
S1321,21,Male,2.9,4.6,0,Yes,77.6,4.9,Good,3,Bachelor,Good,9,Yes,67.8,41.84,Medium
S1322,20,Male,6.1,4.9,1.4,No,68.7,5.3,Good,0,Bachelor,Good,10,No,96.1,60.1,High
S1323,18,Male,2.9,1.6,1.7,No,100,6.1,Good,0,Bachelor,Good,10,No,70.2,43.28,Medium
S1324,22,Female,3.8,1.8,0.7,No,97.5,8.2,Fair,5,Bachelor,Average,2,No,84.2,52.04,Medium
S1325,22,Female,4.9,3.5,1.2,No,77.2,7.4,Good,0,High School,Good,4,No,75.4,47.2,Medium
S1326,19,Male,1.4,2,3.5,No,87.7,6.3,Fair,1,Bachelor,Good,8,No,41.7,25.58,Low
S1327,23,Male,0.9,2.4,2.5,No,89.2,6.9,Fair,0,High School,Poor,1,No,23.1,14.22,Low
S1328,24,Female,1.2,2.5,0.8,Yes,96.9,5.8,Good,4,Master,Good,5,No,50.3,30.66,Low
S1329,24,Male,5.4,0.2,0,No,76.8,6.7,Fair,4,Bachelor,Average,8,No,100,62.16,High
S1330,17,Male,2.7,2.5,1.4,No,95.9,6.6,Good,6,Master,Average,2,No,52.2,32.4,Low
S1331,17,Male,7.3,1.7,1.6,No,79.5,7.7,Fair,6,None,Average,2,Yes,100,62.92,High
S1332,20,Male,2.7,1.9,2.3,No,71.6,7.7,Fair,3,High School,Poor,8,No,71.2,43.8,Medium
S1333,19,Male,3.8,4.2,1.2,No,92.2,7.1,Good,1,High School,Good,10,No,72.3,44.9,Medium
S1334,22,Female,5.8,1,2.4,No,97.9,6.1,Fair,4,None,Average,9,No,100,62.32,High
S1335,24,Male,6.5,3.5,3.9,No,100,7.4,Poor,5,High School,Average,7,Yes,100,62.6,High
S1336,21,Female,6.6,2.2,2.7,No,73,6.4,Good,2,Bachelor,Poor,8,Yes,100,62.64,High
S1337,19,Male,5.3,2.2,1.7,No,92,5.2,Fair,2,High School,Good,5,No,93.1,57.98,High
S1338,20,Female,5,3.4,1.6,Yes,80.9,6,Good,2,Bachelor,Average,1,Yes,67.7,42.62,Medium
S1339,20,Female,4.4,2.9,1.4,No,92.8,6.6,Fair,6,Master,Good,4,Yes,77.9,48.5,Medium
S1340,19,Male,4.7,3.2,3.1,Yes,70.3,7.6,Fair,5,Bachelor,Good,2,No,80.3,50.06,Medium
S1341,20,Female,2.7,3.7,1.1,No,72.4,6.3,Fair,0,High School,Average,3,No,44.3,27.66,Low
S1342,19,Male,2.3,2.1,1.8,No,77.2,5,Fair,5,High School,Average,3,No,54.7,33.74,Low
S1343,18,Other,3.5,1.8,1.9,No,85.8,6.6,Fair,0,High School,Good,9,No,85,52.4,Medium
S1344,19,Male,3.2,1.2,1.2,No,78.6,6.6,Fair,2,High School,Poor,10,Yes,81.7,50.3,Medium
S1345,23,Male,2.8,1.5,0.3,No,91.6,6.7,Fair,3,Bachelor,Poor,4,No,71.6,44.08,Medium
S1346,19,Male,4.5,6,2.2,Yes,95.3,7.6,Poor,3,High School,Good,2,Yes,73.7,46.02,Medium
S1347,20,Other,4.9,4,1.7,No,91,7.7,Fair,0,Master,Average,3,No,77,48.16,Medium
S1348,24,Female,3.6,0.9,2.4,No,100,5.8,Poor,2,Bachelor,Average,3,No,72.3,44.82,Medium
S1349,23,Female,5.7,0.9,1.2,No,89.2,5.8,Poor,5,Bachelor,Average,7,No,100,62.28,High
S1350,20,Male,1.8,3.1,3.1,No,72.8,5.3,Good,3,High School,Average,8,No,54,33.12,Low
S1351,17,Female,3.2,3.2,0.8,No,98.6,7.3,Good,0,High School,Good,6,No,70.4,43.52,Medium
S1352,17,Male,2.4,3.2,3.7,No,78.9,8.2,Good,5,Bachelor,Good,4,Yes,47,29.16,Low
S1353,24,Female,0.7,2.2,0,No,94.1,6.1,Fair,2,High School,Good,6,No,48.7,29.5,Low
S1354,24,Male,3.4,2.3,2.3,No,100,6.2,Good,1,High School,Good,1,No,47.6,29.92,Low
S1355,23,Male,3.3,2.9,2.3,Yes,89.6,8.3,Good,2,High School,Average,10,No,81.1,49.98,Medium
S1356,18,Male,5.8,2.6,0.9,Yes,70,7.1,Good,6,High School,Average,8,No,100,62.32,High
S1357,24,Male,4.4,0,2.3,No,75.8,7,Fair,2,Bachelor,Average,1,No,81.9,50.9,Medium
S1358,17,Female,2,2.2,3.2,No,98.2,5.1,Good,5,High School,Average,5,No,56.3,34.58,Low
S1359,19,Male,6.3,1.5,0,No,83.3,7.3,Good,5,Bachelor,Good,2,Yes,100,62.52,High
S1360,20,Female,5.3,2.7,2.4,Yes,85.8,5.4,Good,4,High School,Good,6,No,81,50.72,Medium
S1361,17,Male,4.4,6.1,0,No,92.6,5.1,Poor,4,Bachelor,Average,9,Yes,84.9,52.7,Medium
S1362,17,Female,3.2,2.9,0.7,No,92,6.1,Fair,5,Master,Poor,5,No,67.9,42.02,Medium
S1363,18,Male,2.1,2.1,3.6,No,87.8,5.8,Fair,5,Master,Poor,4,No,56.9,34.98,Low
S1364,23,Male,2.9,3.6,1.2,No,82.9,6.2,Fair,1,High School,Average,2,No,45.9,28.7,Low
S1365,23,Female,5.1,3.1,0.5,Yes,81.9,4.8,Good,1,None,Poor,3,No,76,47.64,Medium
S1366,22,Male,6.3,3,1.6,No,93.6,7.7,Poor,2,High School,Average,6,Yes,94.8,59.4,High
S1367,18,Male,5.8,3.2,4.1,No,90.5,7.9,Poor,6,Bachelor,Good,8,No,99.3,61.9,High
S1368,19,Female,2.8,5,0,Yes,82.4,4.2,Fair,3,Bachelor,Good,8,No,71,43.72,Medium
S1369,23,Female,1.8,1.1,0.6,Yes,95.8,7.7,Poor,6,Bachelor,Average,5,No,70.9,43.26,Medium
S1370,20,Male,3.7,3.1,3.4,Yes,83.7,5.5,Fair,1,High School,Average,5,Yes,59.8,37.36,Medium
S1371,24,Male,0.8,1.4,3.8,Yes,76.5,7.5,Good,2,Bachelor,Average,10,No,36,21.92,Low
S1372,18,Female,4,3.2,1.7,No,77.4,6.4,Fair,6,High School,Good,3,No,68.4,42.64,Medium
S1373,24,Male,3.3,1.4,0.4,No,75.2,6.5,Poor,0,Bachelor,Good,7,Yes,72.9,45.06,Medium
S1374,17,Male,2.8,2,4.1,Yes,82.3,6.3,Fair,4,High School,Good,6,No,57.3,35.5,Medium
S1375,20,Male,1.1,2.1,3.6,Yes,97.3,8,Fair,6,Bachelor,Average,1,Yes,50.3,30.62,Low
S1376,20,Female,4.3,3.7,2.5,No,76.9,5,Poor,3,None,Good,4,No,65.7,41.14,Medium
S1377,17,Female,2.7,3.6,0.9,No,86.9,7.2,Good,2,High School,Poor,6,Yes,67.9,41.82,Medium
S1378,18,Male,1.7,1,1.7,No,78.4,7.8,Good,6,Bachelor,Good,6,No,63.6,38.84,Medium
S1379,17,Male,0,2.6,1.6,No,82.4,7.4,Good,5,High School,Average,3,No,32.9,19.74,Low
S1380,24,Male,3.5,1.6,2.2,No,69.9,9.3,Good,0,Bachelor,Average,6,No,67.7,42.02,Medium
S1381,22,Female,6.2,1,3.4,No,82.8,5.9,Poor,4,Bachelor,Good,10,No,100,62.48,High
S1382,20,Male,6,2.2,2.8,Yes,83.1,7.6,Good,0,Bachelor,Average,6,No,96.8,60.48,High
S1383,21,Male,2.8,2.1,0.6,No,90.4,6.4,Good,2,High School,Poor,9,Yes,71,43.72,Medium
S1384,21,Female,2.6,5.4,3.3,No,87.2,8,Good,1,High School,Poor,9,No,59.8,36.92,Medium
S1385,24,Male,4.2,3,2.1,No,73,6.5,Poor,4,Bachelor,Poor,2,No,64.2,40.2,Medium
S1386,19,Female,2,0.8,2.6,No,95.8,6,Good,0,High School,Poor,4,No,45.2,27.92,Low
S1387,23,Male,4,1.8,3.4,No,87.1,8.1,Good,1,Bachelor,Poor,9,Yes,82.9,51.34,Medium
S1388,17,Male,4.6,3.7,0.6,No,87,5.9,Good,3,High School,Average,4,Yes,73.2,45.76,Medium
S1389,17,Male,5.3,5,1.8,No,84.9,4.8,Poor,2,High School,Average,8,No,79.6,49.88,Medium
S1390,19,Female,3.3,0.6,1.2,Yes,79.8,5.9,Good,2,High School,Good,10,No,73,45.12,Medium
S1391,19,Female,3.2,0.2,0.1,Yes,87.2,7.2,Good,4,None,Average,3,No,72.6,44.84,Medium
S1392,24,Female,2.2,4.7,2.2,No,89.8,8.2,Good,0,High School,Poor,3,No,45.2,28,Low
S1393,24,Male,2.3,3,4.6,No,67.5,6.6,Fair,3,Bachelor,Average,9,No,51.8,32,Low
S1394,19,Female,3.2,1.5,0,No,79.6,8.1,Good,5,Bachelor,Good,10,No,92,56.48,High
S1395,20,Male,4.1,3.1,1.8,No,82.5,4.9,Fair,4,High School,Good,8,No,77.8,48.32,Medium
S1396,24,Male,4.9,0,2.5,Yes,87.6,6,Fair,5,Master,Average,1,No,97.2,60.28,High
S1397,22,Female,2.3,2.5,1.9,Yes,96.9,6.2,Fair,4,Bachelor,Good,10,Yes,71.9,44.06,Medium
S1398,24,Male,5.7,2.9,1.7,No,77.3,6.4,Good,0,Master,Good,2,Yes,69.1,43.74,Medium
S1399,17,Male,3.1,3.6,0.4,No,80,6.6,Poor,3,Bachelor,Good,3,Yes,59.6,37,Medium
S1400,24,Male,3.5,1.3,2.1,No,79.9,7.3,Fair,0,Bachelor,Good,2,No,60.4,37.64,Medium
S1401,20,Male,2.4,2.6,1,No,77,6,Good,2,None,Good,3,Yes,48.3,29.94,Low
S1402,19,Male,0,1.4,0,No,81.5,6.7,Good,5,High School,Good,8,Yes,50.1,30.06,Low
S1403,17,Female,4.8,2.8,3.1,No,92.7,6.4,Fair,1,None,Good,6,No,74.9,46.86,Medium
S1404,24,Male,4.6,1.4,2.9,Yes,74.5,5.4,Good,6,Bachelor,Average,7,Yes,85.6,53.2,Medium
S1405,20,Female,3.1,2,1.9,No,89.3,6.4,Good,2,High School,Good,10,Yes,65.4,40.48,Medium
S1406,22,Female,3.6,1.3,2.1,No,68,6.3,Poor,2,Bachelor,Good,10,Yes,82.4,50.88,Medium
S1407,24,Male,4.3,3.3,3,No,79.4,6.3,Fair,5,High School,Poor,6,Yes,67.3,42.1,Medium
S1408,20,Male,1.2,3.5,2,No,81.7,6.5,Poor,4,Bachelor,Good,1,No,34.3,21.06,Low
S1409,22,Male,2.7,2.2,2.8,No,100,6.6,Fair,2,High School,Average,3,No,53,32.88,Low
S1410,19,Female,4.7,2.5,1.5,No,82.3,6,Fair,6,High School,Average,1,No,78,48.68,Medium
S1411,24,Male,1.6,0.8,3.2,Yes,63,8,Good,3,High School,Good,10,No,58.2,35.56,Medium
S1412,22,Female,3.9,2.1,2.2,No,65,5.1,Good,2,High School,Average,9,No,73.7,45.78,Medium
S1413,17,Male,1.5,2.4,2,Yes,85.3,5.6,Poor,3,High School,Average,9,No,60.3,36.78,Medium
S1414,19,Female,4.2,5.6,0.4,No,91.1,9.8,Poor,0,Bachelor,Poor,5,Yes,78.7,48.9,Medium
S1415,17,Male,3.4,1.2,2.1,Yes,88.8,5.3,Fair,4,None,Average,4,Yes,68.3,42.34,Medium
S1416,21,Male,1.1,4.3,0.9,No,86.7,4.9,Fair,3,High School,Average,9,No,49.9,30.38,Low
S1417,18,Female,5.2,3.7,1.1,No,96.6,7.4,Fair,2,Bachelor,Average,9,Yes,100,62.08,High
S1418,24,Female,2.4,2.8,0.9,No,79.6,4,Good,4,None,Average,3,Yes,54.7,33.78,Low
S1419,22,Male,2.3,4.6,0.6,No,93.9,6.2,Good,6,Master,Good,5,No,58.7,36.14,Medium
S1420,18,Female,3.8,2.9,4.1,Yes,68.7,9.1,Fair,4,Master,Good,3,No,70.8,44,Medium
S1421,18,Female,5.2,3,3.3,No,76,4.6,Good,3,None,Poor,10,Yes,87.1,54.34,Medium
S1422,22,Female,2,2.4,3.9,No,66.9,4.1,Fair,3,High School,Good,2,Yes,29.5,18.5,Low
S1423,19,Female,3.6,4,0.5,No,82.3,4.7,Good,1,High School,Poor,1,No,53.2,33.36,Low
S1424,24,Male,4.1,3.8,1.9,Yes,84.5,7.6,Fair,1,Bachelor,Poor,10,No,73,45.44,Medium
S1425,21,Male,4.5,1.7,0.4,No,86.1,7.8,Poor,4,Bachelor,Poor,2,Yes,71.1,44.46,Medium
S1426,17,Male,3.8,0.9,1,No,85.6,5.9,Good,5,Bachelor,Good,8,No,80.9,50.06,Medium
S1427,20,Female,2.9,2.3,0.8,Yes,75.7,7.3,Fair,5,Bachelor,Good,8,No,75.1,46.22,Medium
S1428,17,Female,2.3,1.5,3.2,No,83.1,8.2,Good,1,High School,Average,3,No,52.4,32.36,Low
S1429,20,Male,3.6,2.4,1.4,No,70,8.6,Fair,2,Bachelor,Average,7,No,67.6,42,Medium
S1430,17,Male,1.9,4,3,No,98.6,6.2,Poor,0,Bachelor,Average,7,Yes,35.7,22.18,Low
S1431,22,Female,0,2,2.5,No,82,3.7,Poor,4,Bachelor,Average,2,No,29.9,17.94,Low
S1432,21,Other,4.2,2.4,4.3,No,80.1,5.5,Fair,0,Master,Good,9,No,70.7,44.1,Medium
S1433,24,Female,4.9,2.6,0.2,No,100,6,Good,1,Bachelor,Average,3,Yes,89.3,55.54,High
S1434,20,Male,0,3.5,3.2,No,72.6,6.2,Fair,3,High School,Good,2,No,26.2,15.72,Low
S1435,24,Male,2,0,3.1,No,73.7,6.3,Good,6,High School,Average,3,Yes,58.3,35.78,Medium
S1436,24,Male,4.4,1.8,0.7,No,74,7.8,Good,4,High School,Good,2,Yes,78.4,48.8,Medium
S1437,24,Female,6.6,2.8,2.9,No,84.3,8,Good,1,None,Good,8,No,100,62.64,High
S1438,23,Male,3.5,3.9,2.2,No,89.3,6.3,Fair,2,Master,Average,5,Yes,66.8,41.48,Medium
S1439,19,Female,2.4,1.9,1.5,No,92.4,7.8,Good,6,High School,Good,3,No,63.8,39.24,Medium
S1440,17,Male,3.2,0.2,0.9,No,100,6.9,Fair,4,Bachelor,Good,5,No,76.1,46.94,Medium
S1441,24,Female,5.6,3.2,1,No,62.5,6.6,Fair,4,Bachelor,Average,8,No,82.7,51.86,Medium
S1442,17,Female,2.5,1.7,4.1,No,91.1,7.6,Poor,5,None,Average,7,No,65,40,Medium
S1443,24,Female,2.3,1.1,1.8,Yes,79.4,6.6,Fair,3,Master,Good,6,No,66.8,41,Medium
S1444,20,Male,2.8,1.8,2.7,No,79.1,9,Poor,4,Master,Average,1,Yes,64.9,40.06,Medium
S1445,19,Male,2.1,2.3,0.9,No,78.8,4.8,Good,3,Bachelor,Poor,10,No,63.1,38.7,Medium
S1446,19,Male,3.7,1.8,0.9,Yes,75.9,5.9,Fair,1,High School,Average,1,No,56.3,35.26,Medium
S1447,22,Female,5.9,0,3,No,100,6.3,Fair,2,High School,Good,1,Yes,93.6,58.52,High
S1448,23,Female,4,3.6,0.3,No,93.4,7,Good,6,High School,Good,10,Yes,91.9,56.74,High
S1449,22,Female,3.1,4,1.3,No,85.2,8,Fair,6,High School,Good,8,Yes,74,45.64,Medium
S1450,22,Female,3.1,3.3,1.8,No,98.5,6.5,Fair,2,Bachelor,Average,8,No,62.7,38.86,Medium
S1451,22,Female,1.2,1.1,1.9,No,69.9,4.8,Poor,4,Master,Poor,7,No,58.6,35.64,Medium
S1452,22,Male,4.8,2.3,1.6,Yes,71.7,7.5,Good,4,Bachelor,Good,6,No,89.3,55.5,High
S1453,22,Female,3.4,2.5,2.2,No,63.2,7.4,Poor,1,Master,Good,4,No,63.4,39.4,Medium
S1454,21,Male,3.2,3.2,2.6,Yes,78,4.2,Fair,5,Bachelor,Poor,1,No,46.7,29.3,Low
S1455,19,Male,8.3,3.3,2.6,Yes,86.6,6.5,Fair,5,High School,Average,9,No,100,63.32,High
S1456,22,Female,3.9,1.6,0.7,Yes,86,4.6,Good,5,Master,Poor,1,No,68.7,42.78,Medium
S1457,24,Male,2.4,2.6,1.5,No,86.5,5.7,Good,3,High School,Good,4,No,58.9,36.3,Medium
S1458,19,Male,2.9,3,3.1,No,70.9,5.4,Good,5,Master,Good,3,No,59,36.56,Medium
S1459,19,Female,5.2,4.2,2.8,Yes,93,7.5,Poor,2,High School,Good,7,No,77.9,48.82,Medium
S1460,18,Male,3.7,3.3,0.3,Yes,87.4,6.6,Fair,6,High School,Good,5,No,72.3,44.86,Medium
S1461,21,Female,1.3,3.4,2.2,No,92.3,5,Fair,6,Master,Poor,5,No,49.7,30.34,Low
S1462,22,Male,4.9,2.6,0,Yes,66.1,7.6,Poor,3,Bachelor,Good,4,No,80.9,50.5,Medium
S1463,17,Male,2.5,4.2,1.9,Yes,88.1,4.8,Fair,1,Master,Good,1,No,44.5,27.7,Low
S1464,20,Male,6.3,3,3.9,Yes,73.1,6.9,Fair,2,Master,Average,5,No,85.3,53.7,Medium
S1465,23,Male,5.1,1.5,0.8,No,81,5.5,Fair,6,None,Good,4,No,83.2,51.96,Medium
S1466,24,Female,2.8,4.2,0.9,No,90.3,6.1,Good,2,Bachelor,Average,10,No,59.7,36.94,Medium
S1467,17,Male,5.4,3.3,2.6,No,85.9,7.1,Fair,6,High School,Good,8,No,98.1,61.02,High
S1468,21,Female,3.6,2,0.1,No,76.5,7.1,Good,0,Bachelor,Good,2,Yes,66.8,41.52,Medium
S1469,20,Male,4.8,1.9,1.1,No,85.1,8.1,Fair,1,Bachelor,Good,8,Yes,96.1,59.58,High
S1470,21,Female,4.2,2.9,2.5,No,69.7,6.4,Fair,1,High School,Good,1,No,60.4,37.92,Medium
